gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,m,c,p,vb,debt_diff,eq_deriv,eq_deriv_min_val,eq_min_val,eq_negative,eq_vb,abs_debt_diff,debt_per_diff,abs_debt_per_diff,debt,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,78.82735528169701,0.06969469251252036,2.649055968063116,1.0014934918281733,0.38351525710579076,false,0.0,0.06969469251252036,0.0012539360981503227,0.0012539360981503227,55.650431713583046,42.76275357384467,98.41318528742772,56.547739564621516,-3.5779710465823844,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,82.49717802311059,-0.10230865647623233,3.0936456467452063,1.00149351373341,0.46031153494575483,false,0.0,0.10230865647623233,-0.0018407214794119652,0.0018407214794119652,55.47842836459429,39.81997231656797,95.29840068116226,58.215487319884026,-10.560272573798358,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,84.39629358472031,-0.17654882379733294,3.3076459850782642,1.0014935251642978,0.4989770066816498,false,0.0,0.17654882379733294,-0.003176439055322417,0.003176439055322417,55.40418819727319,37.916109345157764,93.32029754243095,59.36992236022605,-14.978317890292592,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,86.16700076452418,-0.21222278086269597,3.4981488629473367,1.0014935387405455,0.5343943606781573,false,0.0,0.21222278086269597,-0.0038182793578689467,0.0038182793578689467,55.36851424020783,35.8465249220027,91.21503916221053,60.70108037967762,-19.683325993381352,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,89.83682350593774,-0.054203774228192,3.867626118740562,1.0014935658229671,0.6059452662934155,false,0.0,0.054203774228192,-0.0009752258989952487,0.0009752258989952487,55.526533246842334,30.38506977209952,85.91160301894186,64.63216992307757,-31.678207276382054,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,55.580737021070526,93.50664624735133,0.4625343674194511,4.187314021036122,1.0014935088445216,0.8182433257722932,false,0.14619066133838032,0.4625343674194511,0.008321846600272778,0.008321846600272778,56.04327138848998,22.851271683561613,78.89454307205159,71.03567522700226,-48.01416664665524,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,43.30163245150863,1.783101535954195,-4.612031898786245,-4.612031898786245,-7.553340294790234,true,0.0,1.783101535954195,0.03208128627870166,0.03208128627870166,57.36383855702472,47.89676501040905,105.26060356743378,54.496969058585485,12.33836112209512,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,47.07352430718473,1.8170520772185768,-3.8144036576712175,-3.8144036576712175,-6.247693923089339,true,0.0,1.8170520772185768,0.03269211915145596,0.03269211915145596,57.3977890982891,47.91255016540638,105.31033926369548,54.503469934291935,12.464938206956333,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,50.84541616286083,1.8326728117456526,-2.9662381378841274,-2.9662381378841274,-4.608944272331372,true,0.0,1.8326728117456526,0.03297316498431625,0.03297316498431625,57.41340983281618,47.89450426309491,105.30791409591109,54.51955850205701,12.46381566374204,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,54.617308018536924,1.8326728117456526,-2.1239884114842327,-2.1239884114842327,-2.864255031524544,true,0.0,1.8326728117456526,0.03297316498431625,0.03297316498431625,57.41340983281618,47.73121921591109,105.14462904872727,54.60422501106456,12.080396736462816,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,58.38919987421302,1.8326728117456526,-1.2613466224063015,-1.2613466224063015,-1.240410718306504,true,0.0,1.8326728117456526,0.03297316498431625,0.03297316498431625,57.41340983281618,47.43929578600818,104.85270561882436,54.75625020257815,11.394914689750713,100.0,0.08,0.6,0.27,1.0
0.02,0.02,0.0,0.005,0.1,0.35,0.15,1.0,1.0,5.5,57.099057274148464,62.16109172988912,1.8326728117456526,-0.4261755975577551,-0.4261755975577551,-0.17617335244876442,true,0.0,1.8326728117456526,0.03297316498431625,0.03297316498431625,57.41340983281618,46.98913803479877,104.40254786761494,54.992345498711224,10.33787361310614,100.0,0.08,0.6,0.27,1.0
