c,p,vb,debt,debt_diff,abs_debt_diff,debt_per_diff,abs_debt_per_diff,count,time
10.0,56.063666893005085,52.81745048732755,58.58976501071945,2.526098117714362,2.526098117714362,0.045057668499195805,0.045057668499195805,1,78749791
10.0,56.063666893005085,54.641251442230455,58.589754428204024,2.52608753519894,2.52608753519894,0.045057479740307764,0.045057479740307764,1,78749791
10.0,56.063666893005085,56.465052397133356,58.589587847649824,2.5259209546447394,2.5259209546447394,0.045054508465622534,0.045054508465622534,1,78749791
10.0,56.063666893005085,58.288853352036256,58.58959684007645,2.5259299470713685,2.5259299470713685,0.045054668862313074,0.045054668862313074,1,78749791
10.0,56.063666893005085,60.112654306939156,58.58907858813075,2.525411695125662,2.525411695125662,0.045045424872855594,0.045045424872855594,1,78749791
10.0,56.063666893005085,61.936455261842056,58.58863489819933,2.5249680051942462,2.5249680051942462,0.045037510835904314,0.045037510835904314,1,78749791
10.0,56.063666893005085,63.760256216744956,58.58723307600939,2.5235661830043057,2.5235661830043057,0.04501250672419296,0.04501250672419296,1,78749791
10.0,56.063666893005085,65.58405717164786,58.584746846188246,2.521079953183161,2.521079953183161,0.044968160181076376,0.044968160181076376,1,78749791
10.0,56.063666893005085,67.40785812655076,58.58075880725284,2.5170919142477572,2.5170919142477572,0.04489702607308064,0.04489702607308064,1,78749791
10.0,56.063666893005085,69.23165908145367,58.57307787979024,2.5094109867851557,2.5094109867851557,0.04476002241477088,0.04476002241477088,1,78749791
10.0,56.063666893005085,71.05546003635656,58.56085709264517,2.4971901996400874,2.4971901996400874,0.0445420418968645,0.0445420418968645,1,78749791
10.0,56.063666893005085,72.87926099125946,58.541951200074216,2.4782843070691314,2.4782843070691314,0.04420482006285501,0.04420482006285501,1,78749791
10.0,56.063666893005085,74.70306194616236,58.51321712327383,2.4495502302687484,2.4495502302687484,0.04369229424367838,0.04369229424367838,1,78749791
10.0,56.063666893005085,76.52686290106527,58.47276084245881,2.4090939494537267,2.4090939494537267,0.04297068106607031,0.04297068106607031,1,78749791
10.0,56.063666893005085,78.35066385596816,58.418313805320885,2.3546469123158005,2.3546469123158005,0.04199951667110065,0.04199951667110065,1,78749791
10.0,56.063666893005085,80.17446481087106,58.34546828597243,2.2818013929673455,2.2818013929673455,0.040700181051697135,0.040700181051697135,1,78749791
