comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_deriv_min_val,eq_negative,eq_vb
65,1.0,65,0.02,0.02,0.0,0.005,0.3,0.25,0.15,1.0,3.1105610561056105,35.36659789704197,39.792381950628716,37.812103617687306,38.12568729608103,-0.027161301927655757,-0.00016852861476855297,0.001071644667089887,35.34346671855856,35.339436595114314,70.51043931862928,70.51492237324099,105.85435896835531,33.38496112916699,9.053986943628999,100.0,0.08,0.6,0.27,1.0,0.027161301927655757,-0.0007679930652851261,0.0007679930652851261,-0.00016852861476855297,false,0.0
66,1.0,66,0.02,0.02,0.0,0.001,0.5,0.25,0.15,1.0,3.0391539153915392,36.76837650964622,40.9645939310369,38.69410834061117,39.19940770913026,-0.07688308211685069,-0.00019586699179181984,0.0011331424073897326,36.76837725305063,36.691493427529366,70.00097621923393,69.96701823945749,106.65851166698685,34.40090514490667,10.517562374283319,100.0,0.08,0.6,0.27,1.0,0.07688308211685069,-0.0020910110648121854,0.0020910110648121854,-0.00019586699179181984,false,0.0
67,1.0,67,0.02,0.02,0.0,0.0025,0.5,0.25,0.15,1.0,3.036003600360036,36.1716500250182,40.48871178551447,38.31802169727672,38.735997387070825,-0.08617124991000935,-0.00010114388206500999,0.0010737862856263986,36.1716503842559,36.08547877510819,70.10563563345367,70.04778030734003,106.13325908244823,34.00016082336232,9.596033835358853,100.0,0.08,0.6,0.27,1.0,0.08617124991000935,-0.002382286952638567,0.002382286952638567,-0.00010114388206500999,false,0.0
68,1.0,68,0.02,0.02,0.0,0.003,0.5,0.25,0.15,1.0,3.0318031803180316,35.922983517449964,40.27225777770644,38.136666676214595,38.526281413130306,-0.08903706120742072,-6.715264925188402e-5,0.0010716191375685447,35.92298321892299,35.83394645624254,70.19149690481316,70.12917535303741,105.96312180927995,33.81737518147027,9.293265644291893,100.0,0.08,0.6,0.27,1.0,0.08903706120742072,-0.0024785541870198514,0.0024785541870198514,-6.715264925188402e-5,false,0.0
69,1.0,69,0.02,0.02,0.0,0.004,0.5,0.25,0.15,1.0,3.0118511851185117,35.331122316921814,39.731500090725,37.672444999232084,38.004090014135826,-0.09632152086879131,-0.0002834866218381621,0.0010513139033629158,35.33112291320223,35.23480079605302,70.45032304038925,70.38203051180281,105.61683130785583,33.36097131464712,8.672607166957548,100.0,0.08,0.6,0.27,1.0,0.09632152086879131,-0.002726251377037581,0.002726251377037581,-0.0002834866218381621,false,0.0
70,1.0,70,0.02,0.02,0.0,0.005,0.5,0.25,0.15,1.0,2.98979897989799,34.74223088813267,39.19167503269383,37.207199750877145,37.481947066400544,-0.10278262032213803,2.438372452092165e-6,0.0010095929779916728,34.74223092952945,34.63944826781053,70.70784657086178,70.63643731038874,105.27588557819928,32.90349739407343,8.071972219293478,100.0,0.08,0.6,0.27,1.0,0.10278262032213803,-0.0029584346685476307,0.0029584346685476307,2.438372452092165e-6,false,0.0
71,1.0,71,0.02,0.02,0.0,0.001,0.75,0.25,0.15,1.0,2.9404440444044404,35.26674884755565,39.22934063221284,37.08940128218406,37.58700445381365,-0.1275442917435612,-0.00021733285171380274,0.001075429816474547,35.257914409037724,35.139204555812086,71.33388513976305,71.28064704698721,106.4198516027993,33.01940758850652,9.897892184075218,100.0,0.08,0.6,0.27,1.0,0.1275442917435612,-0.0036165593912522317,0.0036165593912522317,-0.00021733285171380274,false,0.0
72,1.0,72,0.02,0.02,0.0,0.0025,0.75,0.25,0.15,1.0,2.9236423642364238,34.459661664701315,38.504139105861604,36.47444150752969,36.88854891653432,-0.13190714391567582,-3.086545172668877e-5,0.0010246630834843061,34.45966255962942,34.32775452078564,71.6736649913799,71.60438588673868,105.93214040752432,32.405419534360085,9.032948948581154,100.0,0.08,0.6,0.27,1.0,0.13190714391567582,-0.0038278711265118033,0.0038278711265118033,-3.086545172668877e-5,false,0.0
73,1.0,73,0.02,0.02,0.0,0.003,0.75,0.25,0.15,1.0,2.917341734173417,34.227672074387165,38.304021524108066,36.30951516996893,36.695266336815145,-0.13385220047914004,-2.286379974535705e-5,0.00102107726809508,34.22671862125308,34.093819873908025,71.74151007398837,71.67121553379019,105.7650354076982,32.23543559786533,8.747336587659182,100.0,0.08,0.6,0.27,1.0,0.13385220047914004,-0.003910642832741835,0.003910642832741835,-2.286379974535705e-5,false,0.0
74,1.0,74,0.02,0.02,0.0,0.004,0.75,0.25,0.15,1.0,2.9246924692469247,33.954099765093545,38.11241830674524,36.17533883904099,36.50937141384844,-0.13504337076705752,-0.00014568120496130974,0.0010073200578103513,33.95409934451415,33.81905639432649,71.71842904420673,71.63282968115685,105.45188607548334,32.07060362117992,8.237848810327254,100.0,0.08,0.6,0.27,1.0,0.13504337076705752,-0.003977233138305397,0.003977233138305397,-0.00014568120496130974,false,0.0
