comb_num,m,m_comb_num,gross_delta,delta,iota,kappa,lambda,sigmah,sigmal,mu_b,c,p,vb,cvml_vb,cvmh_vb,debt_diff,eq_deriv,eq_min_val,sg_debt,debt,sg_equity,equity,firm_value,leverage,ROE,V0,r,alpha,pi,xi,abs_debt_diff,debt_per_diff,abs_debt_per_diff,eq_vb
856,1.0,172,0.02,0.0198,0.0002,0.015000000000000001,NaN,NaN,0.3,1.0,1.8304080408040804,19.267743848267262,21.07665883841804,NaN,NaN,-1.3448996362797061e-5,NaN,NaN,19.267730288213016,19.2677303992709,81.27506209299885,81.27507038894088,100.54280078821178,19.163709632335962,0.6723467467175892,100.0,0.08,0.6,0.27,1.0,1.3448996362797061e-5,-6.980057690566881e-7,6.980057690566881e-7,6.039613253960852e-14
861,1.0,173,0.02,0.0198,0.0002,0.0025,NaN,NaN,0.3,1.0,2.208970897089709,26.775462707270183,28.385608200429598,NaN,NaN,-2.0259776746911484e-5,NaN,NaN,26.7754417029425,26.775442447493436,76.20452765420086,76.20449132376426,102.97993377125769,26.000640578161473,4.069582488253198,100.0,0.08,0.6,0.27,1.0,2.0259776746911484e-5,-7.566545896295741e-7,7.566545896295741e-7,7.283063041541027e-14
866,1.0,174,0.02,0.0198,0.0002,0.005,NaN,NaN,0.3,1.0,2.166091609160916,25.484133059846517,27.188384872578737,NaN,NaN,-3.73354853309138e-5,NaN,NaN,25.484096798650114,25.484095724361186,76.95413876284668,76.95414899645824,102.43824472081943,24.87752088471878,3.2721131743905563,100.0,0.08,0.6,0.27,1.0,3.73354853309138e-5,-1.4650482809533194e-6,1.4650482809533194e-6,-1.7763568394002505e-15
871,1.0,175,0.02,0.0198,0.0002,0.01,NaN,NaN,0.3,1.0,2.035003500350035,22.611481699035867,24.42873521786345,NaN,NaN,-1.5634994660729262e-5,NaN,NaN,22.611466640727297,22.611466064041206,78.82042006599903,78.82042757417845,101.43189363821966,22.292264546189227,1.8502658797033167,100.0,0.08,0.6,0.27,1.0,1.5634994660729262e-5,-6.914626325171749e-7,6.914626325171749e-7,2.149391775674303e-13
876,1.0,176,0.02,0.0198,0.0002,0.015000000000000001,NaN,NaN,0.3,1.0,1.8304080408040804,19.267743848267262,21.07665883841804,NaN,NaN,-1.3448996362797061e-5,NaN,NaN,19.267730288213016,19.2677303992709,81.27506209299885,81.27507038894088,100.54280078821178,19.163709632335962,0.6723467467175892,100.0,0.08,0.6,0.27,1.0,1.3448996362797061e-5,-6.980057690566881e-7,6.980057690566881e-7,6.039613253960852e-14
881,1.0,177,0.02,0.01975,0.00025,0.0025,NaN,NaN,0.3,1.0,2.2101960196019603,26.790250225972095,28.43730501029408,NaN,NaN,-1.8257740176608195e-5,NaN,NaN,26.790231059306965,26.790231968231918,75.94322628291565,75.94318359794504,102.73341556617696,26.077427505537052,3.733676037589473,100.0,0.08,0.6,0.27,1.0,1.8257740176608195e-5,-6.81506892343545e-7,6.81506892343545e-7,1.8118839761882555e-13
886,1.0,178,0.02,0.01975,0.00025,0.005,NaN,NaN,0.3,1.0,2.1673167316731674,25.49848028795054,27.23820495798901,NaN,NaN,-3.4850886944326476e-5,NaN,NaN,25.498446355932415,25.498445437063594,76.69308987635861,76.69309116741957,102.19153660448316,24.951621518082714,2.9415984905815984,100.0,0.08,0.6,0.27,1.0,3.4850886944326476e-5,-1.3667829043441258e-6,1.3667829043441258e-6,-1.865174681370263e-13
891,1.0,179,0.02,0.01975,0.00025,0.01,NaN,NaN,0.3,1.0,2.0374537453745374,22.63871957947301,24.4892164112118,NaN,NaN,-1.6249874029483635e-5,NaN,NaN,22.63870381548288,22.63870332959898,78.5459295137385,78.54594012848914,101.18464345808812,22.37365528591915,1.5313128257600228,100.0,0.08,0.6,0.27,1.0,1.6249874029483635e-5,-7.177912148449301e-7,7.177912148449301e-7,-5.3290705182007514e-14
896,1.0,180,0.02,0.01975,0.00025,0.015000000000000001,NaN,NaN,0.3,1.0,1.832858285828583,19.293524600846954,21.131675134950598,NaN,NaN,-1.2931912397817769e-5,NaN,NaN,19.29351159908012,19.293511668934556,81.00135103664203,81.00135752577333,100.29486919470789,19.236788306168496,0.36535996151672023,100.0,0.08,0.6,0.27,1.0,1.2931912397817769e-5,-6.70272159460697e-7,6.70272159460697e-7,9.769962616701378e-14
901,1.0,181,0.02,0.0195,0.0005,0.0025,NaN,NaN,0.3,1.0,2.2212221222122213,26.92390063526684,28.761565007342213,NaN,NaN,-2.1841666885791255e-5,NaN,NaN,26.92387692769115,26.923878793599954,74.5776063203992,74.57756355973241,101.50144235333237,26.52561202024734,2.054627870972525,100.0,0.08,0.6,0.27,1.0,2.1841666885791255e-5,-8.112370930823258e-7,8.112370930823258e-7,9.947598300641403e-14
